,country,year,life_expectancy
24548,Kiribati,1853,24.9
24549,North Korea,1853,26.0
24550,South Korea,1853,25.8
24553,Kuwait,1853,26.0
24554,Kyrgyz Republic,1853,23.94
24555,Lao,1853,31.9
24556,Latvia,1853,33.0
24557,Lebanon,1853,29.7
24558,Lesotho,1853,32.8
24559,Liberia,1853,31.1
24560,Libya,1853,33.1
24562,Lithuania,1853,28.9
24563,Luxembourg,1853,36.9
24564,"Macao, China",1853,34.7
24565,"Macedonia, FYR",1853,36.1
24566,Madagascar,1853,30.5
24567,Malawi,1853,30.3
24568,Malaysia,1853,30.6
24569,Maldives,1853,32.65
24570,Mali,1853,26.41
24571,Malta,1853,28.7
24573,Martinique,1853,30.15
24574,Mauritania,1853,32.0
24575,Mauritius,1853,32.86
24576,Mayotte,1853,32.5
24577,Mexico,1853,26.9
24578,"Micronesia, Fed. Sts.",1853,26.7
24579,Moldova,1853,33.15
24581,Mongolia,1853,31.8
24582,Montenegro,1853,35.4
24584,Morocco,1853,33.1
24585,Mozambique,1853,30.28
24586,Myanmar,1853,30.8
24587,Namibia,1853,32.4
24589,Nepal,1853,32.8
24590,Netherlands,1853,38.63
24591,Netherlands Antilles,1853,34.41
24592,New Caledonia,1853,26.0
24593,New Zealand,1853,34.05
24595,Nicaragua,1853,25.4
24596,Niger,1853,30.8
24597,Nigeria,1853,30.4
24602,Norway,1853,47.92
24603,Oman,1853,32.3
24604,Pakistan,1853,25.8
24606,Panama,1853,32.9
24607,Papua New Guinea,1853,31.5
24608,Paraguay,1853,35.5
24609,Peru,1853,35.7
24610,Philippines,1853,30.9
24612,Poland,1853,35.9
24613,Portugal,1853,35.6
24614,Puerto Rico,1853,30.43
24615,Qatar,1853,30.8
24616,Reunion,1853,33.0
24617,Romania,1853,35.7
24618,Russia,1853,29.5
24619,Rwanda,1853,31.8
24623,St. Lucia,1853,28.01
24625,St. Vincent and the Grenadines,1853,25.99
24627,Samoa,1853,25.4
24629,Sao Tome and Principe,1853,31.0
24630,Saudi Arabia,1853,32.1
24631,Senegal,1853,25.2
24632,Serbia,1853,35.5
24635,Seychelles,1853,37.0
24636,Sierra Leone,1853,25.1
24637,Singapore,1853,34.0
24638,Slovak Republic,1853,36.4
24639,Slovenia,1853,36.6
24640,Solomon Islands,1853,25.1
24641,Somalia,1853,29.4
24643,South Africa,1853,33.5
24645,Spain,1853,29.5
24646,Sri Lanka,1853,32.6
24647,Sudan,1853,31.4
24648,Suriname,1853,32.9
24650,Swaziland,1853,32.3
24651,Sweden,1853,39.99
24652,Switzerland,1853,38.0
24653,Syria,1853,31.1
24654,Taiwan,1853,28.3
24655,Tajikistan,1853,24.24
24656,Tanzania,1853,32.2
24657,Thailand,1853,30.4
24658,Timor-Leste,1853,28.95
24659,Togo,1853,31.3
24661,Tonga,1853,28.2
24663,Trinidad and Tobago,1853,38.8
24664,Tunisia,1853,28.8
24665,Turkey,1853,35.0
24666,Turkmenistan,1853,24.0
24669,Uganda,1853,25.3
24670,Ukraine,1853,36.6
24671,United Arab Emirates,1853,30.7
24672,United Kingdom,1853,40.56
24673,United States,1853,39.41
24674,Uruguay,1853,32.9
24676,Uzbekistan,1853,26.93
24678,Vanuatu,1853,24.3
24679,Venezuela,1853,32.2
24680,West Bank and Gaza,1853,32.1
24682,Western Sahara,1853,34.75
24683,Vietnam,1853,32.0
24684,Virgin Islands (U.S.),1853,33.4
24687,Yemen,1853,23.39
24689,Zambia,1853,32.6
24690,Zimbabwe,1853,33.7
24692,South Sudan,1853,26.67
24895,Afghanistan,1854,27.66
24897,Albania,1854,35.4
24898,Algeria,1854,28.82
24901,Angola,1854,26.98
24903,Antigua and Barbuda,1854,33.54
24904,Argentina,1854,33.2
24905,Armenia,1854,34.0
24906,Aruba,1854,34.42
24907,Australia,1854,34.05
24908,Austria,1854,34.4
24909,Azerbaijan,1854,29.17
24910,Bahamas,1854,35.18
24911,Bahrain,1854,30.3
24912,Bangladesh,1854,25.5
24913,Barbados,1854,32.12
24914,Belarus,1854,36.2
24915,Belgium,1854,39.78
24916,Belize,1854,26.5
24917,Benin,1854,31.0
24919,Bhutan,1854,28.8
24920,Bolivia,1854,33.0
24921,Bosnia and Herzegovina,1854,35.1
24922,Botswana,1854,33.6
24923,Brazil,1854,31.99
24925,Brunei,1854,29.2
24926,Bulgaria,1854,38.18
24927,Burkina Faso,1854,29.2
24928,Burundi,1854,31.5
24929,Cambodia,1854,35.0
24930,Cameroon,1854,28.75
24931,Canada,1854,41.22
24932,Cape Verde,1854,33.8
24934,Central African Republic,1854,30.0
24935,Chad,1854,30.9
24937,Chile,1854,32.0
24938,China,1854,28.0
24941,Colombia,1854,32.0
24942,Comoros,1854,32.1
24943,"Congo, Dem. Rep.",1854,31.6
24944,"Congo, Rep.",1854,32.7
24946,Costa Rica,1854,30.21
24947,Cote d'Ivoire,1854,31.16
24948,Croatia,1854,36.1
24949,Cuba,1854,36.5
24950,Cyprus,1854,38.51
24951,Czech Republic,1854,34.95
24953,Denmark,1854,44.74
24954,Djibouti,1854,29.9
24956,Dominican Republic,1854,29.9
24958,Ecuador,1854,32.9
24959,Egypt,1854,33.0
24960,El Salvador,1854,28.7
24961,Equatorial Guinea,1854,29.8
24962,Eritrea,1854,30.2
24964,Estonia,1854,38.33
24965,Ethiopia,1854,29.7
24968,Fiji,1854,26.1
24969,Finland,1854,37.97
24970,France,1854,36.13
24971,French Guiana,1854,30.5
24972,French Polynesia,1854,6.0
24973,Gabon,1854,30.6
24974,Gambia,1854,28.8
24975,Georgia,1854,31.87
24976,Germany,1854,38.37
24977,Ghana,1854,28.0
24979,Greece,1854,36.6
24980,Greenland,1854,33.87
24981,Grenada,1854,37.3
24982,Guadeloupe,1854,27.66
24983,Guam,1854,27.5
24984,Guatemala,1854,25.81
24986,Guinea,1854,30.06
24987,Guinea-Bissau,1854,32.0
24988,Guyana,1854,31.12
24989,Haiti,1854,29.0
24991,Honduras,1854,33.9
24992,"Hong Kong, China",1854,34.9
24993,Hungary,1854,36.0
24994,Iceland,1854,43.14
24995,India,1854,25.44
24996,Indonesia,1854,30.0
24997,Iran,1854,25.6
24998,Iraq,1854,31.2
24999,Ireland,1854,38.3
25001,Israel,1854,32.0
25002,Italy,1854,29.69
25003,Jamaica,1854,34.2
25004,Japan,1854,36.42
25006,Jordan,1854,31.7
25007,Kazakhstan,1854,26.2
25008,Kenya,1854,25.5
25009,Kiribati,1854,24.9
25010,North Korea,1854,26.0
25011,South Korea,1854,25.8
25014,Kuwait,1854,26.0
25015,Kyrgyz Republic,1854,23.94
25016,Lao,1854,31.9
25017,Latvia,1854,33.0
25018,Lebanon,1854,29.7
25019,Lesotho,1854,32.8
25020,Liberia,1854,31.1
25021,Libya,1854,33.1
25023,Lithuania,1854,28.9
25024,Luxembourg,1854,36.9
25025,"Macao, China",1854,34.7
25026,"Macedonia, FYR",1854,36.1
25027,Madagascar,1854,30.5
25028,Malawi,1854,30.3
25029,Malaysia,1854,30.6
25030,Maldives,1854,32.65
25031,Mali,1854,26.41
25032,Malta,1854,28.7
25034,Martinique,1854,30.15
25035,Mauritania,1854,32.0
25036,Mauritius,1854,7.5
25037,Mayotte,1854,32.5
25038,Mexico,1854,26.9
25039,"Micronesia, Fed. Sts.",1854,26.7
25040,Moldova,1854,33.15
25042,Mongolia,1854,31.8
25043,Montenegro,1854,35.4
25045,Morocco,1854,33.1
25046,Mozambique,1854,30.28
25047,Myanmar,1854,30.8
25048,Namibia,1854,32.4
25050,Nepal,1854,32.8
25051,Netherlands,1854,38.63
25052,Netherlands Antilles,1854,34.41
25053,New Caledonia,1854,26.0
25054,New Zealand,1854,34.05
25056,Nicaragua,1854,25.4
25057,Niger,1854,30.8
25058,Nigeria,1854,30.4
25063,Norway,1854,51.65
25064,Oman,1854,32.3
25065,Pakistan,1854,25.8
25067,Panama,1854,32.9
25068,Papua New Guinea,1854,31.5
25069,Paraguay,1854,35.5
25070,Peru,1854,35.7
25071,Philippines,1854,30.9
25073,Poland,1854,35.9
25074,Portugal,1854,35.6
25075,Puerto Rico,1854,30.43
25076,Qatar,1854,30.8
25077,Reunion,1854,33.0
